carat,cut,color,clarity,depth,table,price,x,y,z
1.01,Ideal,6,SI,62.1,56.0,5694,6.36,6.43,3.97
1.01,Ideal,3,VS,61.7,57.0,5995,6.48,6.45,3.99
2.0,Ideal,2,SI,61.8,57.0,12654,8.05,8.01,4.96
0.41,Ideal,5,VS,62.4,54.0,935,4.76,4.79,2.98
0.31,Ideal,5,VVS,61.6,55.0,816,4.35,4.38,2.69
0.75,Ideal,6,VS,61.1,55.0,3679,5.87,5.89,3.6
1.13,Ideal,6,VVS,61.7,57.0,12261,6.68,6.65,4.11
1.27,Ideal,5,SI,62.4,58.0,7631,6.87,6.91,4.3
1.12,Ideal,1,SI,60.3,57.0,6143,6.74,6.79,4.08
0.38,Ideal,4,VS,61.2,57.0,693,4.64,4.67,2.85
0.36,Ideal,6,VS,61.7,55.0,1094,4.6,4.58,2.83
1.53,Ideal,3,VVS,61.4,59.0,15275,7.4,7.42,4.55
1.02,Ideal,2,SI,61.2,56.0,5257,6.49,6.51,3.98
0.32,Ideal,6,SI,61.8,55.0,477,4.38,4.42,2.72
1.01,Ideal,6,SI,61.4,59.0,5812,6.4,6.44,3.94
1.02,Ideal,4,VS,62.0,57.0,8637,6.49,6.44,4.01
0.74,Ideal,0,VS,61.2,56.0,1985,5.82,5.87,3.58
0.66,Ideal,2,SI,60.9,55.0,1780,5.63,5.7,3.45
0.46,Ideal,5,VS,62.2,54.0,1393,4.9,4.94,3.06
0.41,Ideal,3,IF,62.4,54.0,1431,4.78,4.74,2.97
0.3,Ideal,6,SI,62.2,56.0,552,4.25,4.3,2.66
1.52,Ideal,3,VVS,61.4,57.0,16343,7.38,7.4,4.54
0.51,Ideal,4,VS,61.0,57.0,1619,5.16,5.11,3.13
0.31,Ideal,5,IF,61.9,54.0,987,4.38,4.41,2.72
1.01,Ideal,6,VS,62.1,58.0,8119,6.4,6.42,3.98
0.51,Ideal,3,VS,62.8,55.0,1443,5.1,5.06,3.19
1.05,Ideal,2,SI,60.6,57.0,3234,6.59,6.55,3.98
1.11,Ideal,2,VVS,61.2,56.0,7136,6.74,6.7,4.11
1.2,Ideal,6,SI,61.7,56.0,6619,6.81,6.88,4.22
0.73,Ideal,1,VS,61.3,56.0,2756,5.8,5.84,3.57
0.54,Ideal,3,VS,62.2,56.0,1760,5.23,5.19,3.24
0.32,Ideal,1,SI,61.2,56.0,450,4.4,4.44,2.7
0.31,Ideal,6,VS,60.6,57.0,713,4.36,4.39,2.65
2.01,Ideal,1,SI,62.4,54.0,12617,8.04,7.96,5.0
0.3,Ideal,3,VS,62.3,56.0,526,4.27,4.3,2.67
1.05,Ideal,1,SI,60.9,57.0,4163,6.55,6.62,4.01
0.3,Ideal,4,VVS,61.9,56.0,814,4.3,4.33,2.67
0.58,Ideal,4,VS,61.9,54.0,1865,5.37,5.33,3.31
0.38,Ideal,1,SI,62.3,56.0,746,4.63,4.58,2.87
1.1,Ideal,3,SI,61.6,56.0,5610,6.59,6.68,4.09
0.6,Ideal,3,VVS,62.0,55.5,2524,5.37,5.42,3.35
0.4,Ideal,2,VVS,62.3,54.0,1017,4.74,4.77,2.96
0.43,Ideal,5,SI,61.9,57.0,716,4.83,4.86,3.0
1.08,Ideal,3,IF,61.3,57.0,8873,6.59,6.62,4.05
0.56,Ideal,5,VS,61.5,57.0,1819,5.27,5.3,3.25
0.42,Ideal,3,VVS,61.3,56.0,1031,4.81,4.82,2.95
0.53,Ideal,5,SI,61.9,55.0,1435,5.18,5.22,3.22
0.38,Ideal,2,VVS,62.1,53.9,832,4.64,4.69,2.9
0.53,Ideal,5,VS,62.8,55.0,1653,5.21,5.17,3.26
0.43,Ideal,4,IF,60.9,57.0,1580,4.89,4.86,2.97
1.03,Ideal,4,VS,62.3,57.0,8133,6.45,6.52,4.04
1.07,Ideal,4,SI,62.0,57.0,4678,6.49,6.6,4.06
0.3,Ideal,1,VS,61.0,58.0,491,4.3,4.33,2.63
0.62,Ideal,3,VVS,61.6,56.0,2861,5.48,5.51,3.38
0.32,Ideal,6,VS,62.3,57.0,758,4.39,4.41,2.74
1.0,Ideal,4,SI,62.7,57.0,5221,6.44,6.38,4.02
0.77,Ideal,2,SI,62.4,56.0,2875,5.84,5.9,3.66
0.55,Ideal,3,VS,62.2,54.0,1588,5.27,5.28,3.28
0.29,Ideal,0,VS,61.8,56.0,435,4.23,4.26,2.62
0.57,Ideal,6,SI,61.0,57.0,1754,5.31,5.34,3.25
0.7,Ideal,3,VS,61.9,56.0,3253,5.68,5.7,3.52
0.3,Ideal,4,VS,60.4,56.0,776,4.37,4.34,2.63
0.51,Ideal,4,VS,61.7,55.0,2085,5.14,5.17,3.18
0.59,Ideal,5,SI,61.6,54.0,1248,5.42,5.45,3.35
0.52,Ideal,2,VS,61.7,54.0,1238,5.18,5.22,3.21
0.42,Ideal,4,SI,60.9,55.0,773,4.84,4.88,2.96
0.62,Ideal,1,VVS,62.6,57.0,1615,5.47,5.5,3.44
1.15,Ideal,5,VS,61.4,57.0,9967,6.73,6.76,4.14
0.78,Ideal,5,VS,62.0,55.0,3334,5.89,5.95,3.67
0.35,Ideal,4,SI,61.5,55.9,596,4.53,4.56,2.8
0.3,Ideal,3,SI,61.8,57.0,422,4.31,4.33,2.67
0.3,Ideal,3,IF,61.5,56.0,863,4.32,4.36,2.67
1.01,Ideal,5,SI,62.4,56.0,5599,6.43,6.39,4.0
1.5,Ideal,2,VS,62.8,57.0,11159,7.3,7.25,4.57
0.57,Ideal,4,VVS,62.1,56.0,2339,5.31,5.35,3.31
1.52,Ideal,0,VVS,62.6,58.0,9541,7.32,7.34,4.59
0.36,Ideal,2,SI,61.4,56.0,684,4.56,4.59,2.81
0.3,Ideal,6,SI,60.2,56.0,574,4.4,4.37,2.64
1.04,Ideal,4,IF,61.8,55.0,10787,6.49,6.56,4.03
0.4,Ideal,4,SI,62.0,57.0,694,4.72,4.76,2.94
0.74,Ideal,2,VVS,61.2,57.0,2961,5.79,5.85,3.56
0.25,Ideal,4,VS,61.6,55.0,535,4.06,4.08,2.51
0.4,Ideal,5,SI,61.2,55.0,666,4.74,4.77,2.91
0.52,Ideal,3,SI,63.0,55.0,1151,5.14,5.12,3.23
1.27,Ideal,4,VS,61.6,55.0,11973,6.97,7.03,4.31
0.32,Ideal,0,VS,61.3,57.0,540,4.43,4.41,2.71
1.25,Ideal,0,VS,61.2,56.0,6793,6.93,6.95,4.25
0.32,Ideal,4,IF,62.2,55.0,1010,4.38,4.4,2.73
0.8,Ideal,4,VS,61.6,54.0,3953,5.95,5.99,3.68
0.78,Ideal,0,SI,61.1,56.0,2169,5.95,5.97,3.64
0.4,Ideal,4,VS,62.6,54.0,843,4.73,4.78,2.98
0.72,Ideal,3,VS,62.0,56.0,3540,5.74,5.78,3.57
0.71,Ideal,3,SI,62.4,56.0,2386,5.74,5.71,3.57
1.14,Ideal,2,VS,61.9,53.0,6926,6.73,6.75,4.17
0.77,Ideal,1,SI,61.7,56.0,2382,5.89,5.91,3.64
0.71,Ideal,6,VS,60.9,56.0,4029,5.76,5.79,3.52
0.55,Ideal,3,VS,61.6,55.0,1752,5.31,5.25,3.25
0.3,Ideal,4,VS,61.4,56.0,658,4.33,4.37,2.67
0.9,Ideal,4,VS,62.3,56.0,6830,6.17,6.19,3.85
1.09,Ideal,2,SI,61.9,56.0,4784,6.61,6.64,4.1
2.13,Ideal,2,SI,62.2,55.0,18442,8.27,8.2,5.12
0.31,Ideal,0,VVS,62.2,54.0,453,4.36,4.39,2.72
0.55,Ideal,5,VS,62.2,55.0,1975,5.22,5.26,3.26
1.13,Ideal,1,VS,61.9,55.0,6980,6.67,6.7,4.14
1.09,Ideal,4,SI,62.0,56.0,5922,6.61,6.59,4.09
1.09,Ideal,2,SI,62.5,56.0,5219,6.58,6.53,4.1
0.33,Ideal,1,SI,61.5,57.0,572,4.49,4.46,2.75
1.01,Ideal,2,SI,62.7,56.0,5457,6.37,6.42,4.01
0.46,Ideal,6,VS,61.8,56.0,1291,4.93,4.97,3.06
0.93,Ideal,6,SI,62.5,55.0,3990,6.2,6.24,3.89
0.38,Ideal,6,VVS,60.3,56.0,1867,4.72,4.74,2.85
0.55,Ideal,1,SI,61.2,55.0,1320,5.28,5.33,3.25
0.4,Ideal,1,IF,62.4,56.0,1050,4.73,4.7,2.94
0.25,Ideal,3,VVS,62.6,56.0,582,4.01,4.05,2.52
0.65,Ideal,5,VVS,62.1,57.0,3023,5.55,5.6,3.46
0.56,Ideal,3,VS,62.0,55.0,1616,5.28,5.33,3.29
0.3,Ideal,1,VVS,62.2,54.0,532,4.29,4.35,2.68
1.01,Ideal,2,SI,62.4,53.0,4559,6.42,6.47,4.02
0.32,Ideal,3,VVS,62.2,55.0,842,4.38,4.4,2.73
0.52,Ideal,6,VS,60.3,56.0,1802,5.27,5.24,3.17
0.3,Ideal,6,SI,62.1,56.0,552,4.3,4.33,2.68
1.24,Ideal,1,SI,60.7,57.0,4937,6.98,6.92,4.22
2.27,Ideal,1,SI,60.5,55.0,12939,8.63,8.53,5.19
1.01,Ideal,2,SI,62.6,55.0,4749,6.39,6.43,4.01
0.31,Ideal,6,VS,62.0,57.0,673,4.33,4.35,2.69
0.3,Ideal,4,VS,62.3,53.5,601,4.27,4.32,2.68
0.3,Ideal,6,VS,61.2,57.0,670,4.29,4.34,2.64
1.35,Ideal,2,VS,60.8,56.0,9462,7.13,7.17,4.35
1.18,Ideal,2,SI,61.6,55.5,6076,6.77,6.85,4.19
0.3,Ideal,5,VVS,62.3,57.0,766,4.29,4.32,2.68
2.16,Ideal,1,SI,62.0,56.0,18029,8.28,8.3,5.14
1.51,Ideal,2,VS,62.6,56.0,11686,7.32,7.28,4.57
0.23,Ideal,3,IF,62.8,55.0,536,3.93,3.96,2.48
0.76,Ideal,4,IF,59.6,58.0,4596,5.95,5.96,3.55
0.77,Ideal,5,SI,60.7,55.0,2834,6.01,5.95,3.63
1.17,Ideal,3,VS,61.5,57.0,6139,6.86,6.8,4.2
0.52,Ideal,6,VS,61.3,56.0,2550,5.21,5.22,3.2
2.0,Ideal,0,VS,61.0,57.0,14323,8.08,8.13,4.94
0.4,Ideal,4,VS,61.8,55.0,971,4.76,4.78,2.95
0.34,Ideal,2,VS,62.5,57.0,596,4.43,4.46,2.78
0.3,Ideal,3,VVS,62.5,53.8,687,4.26,4.3,2.68
0.36,Ideal,3,VS,60.6,57.0,761,4.58,4.62,2.79
1.53,Ideal,3,SI,61.7,57.0,7240,7.44,7.41,4.58
0.8,Ideal,1,SI,62.6,56.1,2677,5.87,5.92,3.7
0.57,Ideal,5,VS,61.9,57.0,1949,5.31,5.29,3.28
0.3,Ideal,3,IF,61.7,53.0,850,4.33,4.36,2.68
0.51,Ideal,5,VS,61.5,58.0,1605,5.12,5.15,3.16
0.58,Ideal,4,VS,61.2,57.0,1979,5.36,5.39,3.29
1.22,Ideal,3,VS,62.2,56.0,9292,6.88,6.85,4.27
2.21,Ideal,6,SI,62.0,57.0,16558,8.36,8.31,5.18
0.77,Ideal,2,VVS,61.3,56.0,3707,5.91,5.94,3.63
1.0,Ideal,5,VS,62.9,55.0,6871,6.4,6.36,4.01
0.55,Ideal,2,IF,62.3,54.0,1905,5.25,5.28,3.28
0.26,Ideal,2,VVS,62.2,55.0,545,4.09,4.11,2.55
0.53,Ideal,5,SI,62.0,56.0,1607,5.19,5.17,3.21
1.24,Ideal,0,VS,62.1,56.0,6639,6.86,6.9,4.27
0.78,Ideal,5,SI,60.8,56.0,2340,5.98,5.92,3.62
2.42,Ideal,2,SI,62.3,57.0,16826,8.62,8.55,5.35
0.83,Ideal,5,SI,62.2,57.0,2870,6.0,6.05,3.75
0.71,Ideal,1,SI,62.1,55.0,2319,5.67,5.73,3.55
1.24,Ideal,4,SI,61.7,57.0,5889,6.95,6.88,4.27
0.82,Ideal,3,SI,60.7,57.0,3123,6.07,6.06,3.68
0.71,Ideal,1,VVS,62.2,54.0,2387,5.7,5.75,3.56
0.54,Ideal,4,VS,60.3,55.0,1662,5.26,5.32,3.19
0.3,Ideal,1,VVS,62.3,53.7,532,4.29,4.32,2.68
0.77,Ideal,1,VS,61.4,56.0,2635,5.86,5.9,3.61
0.73,Ideal,1,VS,61.6,55.0,2596,5.77,5.79,3.56
1.17,Ideal,6,SI,62.7,57.0,5949,6.72,6.7,4.21
0.41,Ideal,4,VVS,61.2,56.0,1115,4.78,4.8,2.93
0.53,Ideal,6,VS,62.2,56.0,1809,5.17,5.18,3.22
1.13,Ideal,2,I1,62.2,55.0,3745,6.69,6.65,4.15
1.54,Ideal,3,VS,61.5,57.0,11487,7.44,7.41,4.57
0.43,Ideal,6,VS,61.9,55.0,1264,4.87,4.85,3.01
1.08,Ideal,4,SI,61.8,55.0,6884,6.58,6.63,4.08
0.4,Ideal,5,SI,62.1,53.0,629,4.75,4.78,2.96
0.32,Ideal,6,VS,60.3,57.0,780,4.42,4.44,2.67
0.76,Ideal,4,SI,61.5,55.0,2694,5.87,5.9,3.62
0.79,Ideal,4,VVS,61.9,57.0,4180,5.93,5.96,3.68
0.31,Ideal,1,IF,60.9,57.0,635,4.37,4.4,2.67
0.32,Ideal,2,VS,61.8,55.0,561,4.41,4.42,2.73
0.56,Ideal,4,SI,61.9,55.0,1212,5.27,5.31,3.28
0.55,Ideal,5,SI,61.8,58.0,1609,5.24,5.28,3.25
1.01,Ideal,3,VS,62.7,54.0,6937,6.43,6.47,4.04
0.71,Ideal,6,SI,61.3,57.0,2610,5.71,5.78,3.52
0.35,Ideal,3,VVS,61.0,57.0,798,4.54,4.58,2.78
0.79,Ideal,3,SI,62.3,57.0,2898,5.9,5.85,3.66
0.52,Ideal,4,VS,61.3,56.0,1451,5.14,5.2,3.17
0.32,Ideal,2,IF,61.9,54.2,783,4.38,4.42,2.72
0.34,Ideal,2,VVS,62.2,55.0,880,4.49,4.48,2.79
0.9,Ideal,5,SI,61.9,54.0,3958,6.23,6.18,3.84
1.06,Ideal,6,VVS,61.8,56.0,13588,6.49,6.53,4.03
0.56,Ideal,6,VS,60.6,56.0,1963,5.33,5.37,3.24
1.25,Ideal,0,VVS,61.1,57.0,6084,6.94,6.91,4.23
0.48,Ideal,4,VS,62.4,54.0,1279,5.03,5.03,3.15
0.51,Ideal,5,VS,61.5,57.0,1656,5.09,5.12,3.14
1.08,Ideal,4,SI,62.9,57.0,5106,6.54,6.53,4.11
1.11,Ideal,2,VVS,61.4,57.0,6837,6.63,6.67,4.08
0.51,Ideal,5,SI,61.1,56.0,1343,5.17,5.2,3.17
0.34,Ideal,5,VVS,62.3,57.0,835,4.44,4.48,2.78
1.23,Ideal,1,VS,61.1,57.0,7881,6.88,6.9,4.21
1.02,Ideal,4,SI,60.1,59.0,5549,6.59,6.56,3.95
0.31,Ideal,3,VS,62.7,57.0,542,4.31,4.34,2.71
2.01,Ideal,1,VS,61.4,59.0,17227,8.06,8.13,4.97
2.1,Ideal,4,SI,61.0,60.0,18124,8.22,8.2,5.01
0.3,Ideal,6,SI,62.5,57.0,709,4.32,4.29,2.69
0.7,Ideal,6,VS,61.7,57.0,3419,5.71,5.74,3.53
1.7,Ideal,2,VS,62.8,57.0,14266,7.57,7.47,4.72
0.9,Ideal,5,SI,61.7,56.0,4034,6.21,6.26,3.85
0.31,Ideal,6,VS,62.5,56.0,942,4.36,4.34,2.72
0.35,Ideal,5,VVS,61.3,56.0,881,4.54,4.6,2.8
1.13,Ideal,1,SI,61.7,57.0,4307,6.59,6.7,4.13
0.52,Ideal,4,IF,61.5,57.0,2749,5.15,5.19,3.18
0.7,Ideal,2,VS,61.4,54.0,2184,5.77,5.66,3.51
0.31,Ideal,3,VVS,61.7,57.0,816,4.34,4.38,2.69
1.03,Ideal,5,SI,58.9,57.0,4873,6.62,6.56,3.88
0.71,Ideal,3,VVS,61.5,57.0,2893,5.73,5.75,3.53
2.41,Ideal,1,SI,62.5,57.0,16987,8.57,8.51,5.34
0.73,Ideal,3,SI,60.9,57.0,3089,5.81,5.85,3.55
2.0,Ideal,0,VS,62.3,55.0,13263,8.03,8.06,5.01
1.16,Ideal,3,VS,61.7,57.0,7113,6.72,6.8,4.17
0.33,Ideal,5,VS,61.3,55.0,928,4.48,4.46,2.74
0.5,Ideal,3,VS,62.2,54.0,1721,5.12,5.07,3.17
0.8,Ideal,4,SI,62.5,56.0,3066,5.94,5.99,3.73
1.01,Ideal,4,SI,62.5,56.0,4969,6.38,6.42,4.0
0.29,Ideal,3,IF,60.6,57.0,673,4.28,4.31,2.6
0.32,Ideal,1,VS,62.3,56.0,471,4.37,4.4,2.73
0.57,Ideal,4,VS,62.3,55.0,1637,5.3,5.36,3.32
0.93,Ideal,2,SI,62.0,55.0,3844,6.32,6.29,3.91
0.33,Ideal,4,VVS,62.2,56.0,1040,4.45,4.43,2.76
0.33,Ideal,5,VS,61.3,55.0,723,4.46,4.48,2.74
1.2,Ideal,0,SI,61.9,57.0,5071,6.8,6.87,4.23
2.01,Ideal,1,SI,62.5,57.0,15140,8.08,8.01,5.03
0.39,Ideal,3,VVS,60.7,56.0,1359,4.73,4.77,2.88
0.34,Ideal,1,SI,60.2,57.0,459,4.5,4.54,2.72
0.52,Ideal,2,VS,61.7,55.0,1790,5.21,5.17,3.2
1.2,Ideal,6,VS,61.4,55.0,9424,6.78,6.87,4.19
1.07,Ideal,4,SI,61.5,57.0,4764,6.6,6.57,4.05
1.19,Ideal,6,VS,61.1,57.0,10079,6.84,6.87,4.19
1.19,Ideal,5,SI,60.2,57.0,5717,6.84,6.87,4.13
1.05,Ideal,3,VS,62.8,58.0,7440,6.44,6.48,4.06
0.43,Ideal,4,VVS,61.0,56.0,1358,4.87,4.9,2.98
0.3,Ideal,4,VVS,62.0,55.0,802,4.3,4.34,2.68
0.52,Ideal,3,VS,61.8,55.0,1815,5.21,5.17,3.21
0.72,Ideal,6,SI,61.1,59.0,2993,5.76,5.8,3.53
0.7,Ideal,2,VS,61.1,57.0,2862,5.71,5.74,3.5
0.43,Ideal,2,VVS,62.3,55.0,943,4.82,4.85,3.01
1.51,Ideal,4,VS,63.0,55.0,14414,7.29,7.24,4.58
0.33,Ideal,3,VS,61.9,56.0,666,4.44,4.48,2.76
1.32,Ideal,4,VS,62.3,57.0,7983,7.06,6.97,4.37
0.3,Ideal,3,IF,61.4,57.0,956,4.37,4.33,2.67
0.33,Ideal,2,VS,61.6,55.0,610,4.46,4.48,2.75
0.36,Ideal,2,SI,61.5,57.0,648,4.6,4.57,2.82
0.57,Ideal,3,VS,61.6,55.0,1815,5.34,5.38,3.3
1.61,Ideal,3,VS,61.9,55.0,14341,7.58,7.55,4.68
1.06,Ideal,3,VS,62.3,55.0,8451,6.5,6.53,4.06
1.07,Ideal,4,SI,61.9,56.0,5264,6.55,6.61,4.07
0.3,Ideal,2,VVS,61.9,57.0,665,4.3,4.33,2.67
1.01,Ideal,6,SI,62.0,57.0,4242,6.42,6.38,3.97
1.07,Ideal,2,VVS,61.7,56.0,7273,6.56,6.68,4.06
1.01,Ideal,4,SI,61.4,56.0,4239,6.46,6.51,3.98
0.42,Ideal,1,VVS,62.4,57.0,945,4.83,4.79,3.0
0.44,Ideal,5,VVS,61.8,56.0,1334,4.93,4.88,3.03
0.57,Ideal,3,VS,61.8,57.0,1728,5.32,5.3,3.28
0.63,Ideal,4,IF,60.9,57.0,3749,5.53,5.57,3.38
1.06,Ideal,6,VVS,62.0,56.0,12053,6.53,6.57,4.06
0.39,Ideal,5,VVS,61.7,56.0,1056,4.73,4.75,2.92
1.12,Ideal,5,SI,62.0,57.0,5546,6.61,6.63,4.11
1.02,Ideal,4,VS,61.0,56.0,8011,6.49,6.52,3.97
0.71,Ideal,3,VS,62.3,54.0,3195,5.68,5.72,3.55
0.3,Ideal,3,VVS,62.2,56.0,753,4.27,4.31,2.67
0.71,Ideal,3,SI,61.9,56.0,3007,5.73,5.76,3.55
0.32,Ideal,3,VVS,61.2,56.0,730,4.41,4.42,2.7
0.55,Ideal,4,VS,61.6,57.0,1881,5.23,5.29,3.24
1.01,Ideal,3,VS,61.7,57.0,5439,6.44,6.49,3.99
0.34,Ideal,5,SI,62.2,55.0,765,4.49,4.45,2.78
0.3,Ideal,4,VVS,62.3,56.0,857,4.3,4.34,2.69
0.71,Ideal,5,SI,59.9,56.0,2704,5.86,5.8,3.49
1.09,Ideal,2,SI,61.1,57.0,5219,6.69,6.6,4.1
0.52,Ideal,4,VVS,62.3,56.0,2333,5.14,5.16,3.21
0.36,Ideal,4,VS,62.5,57.0,789,4.53,4.56,2.84
1.2,Ideal,3,VS,62.3,56.0,8596,6.82,6.77,4.23
0.41,Ideal,3,VVS,60.4,56.0,1076,4.83,4.8,2.91
0.33,Ideal,3,VS,62.1,55.0,854,4.46,4.43,2.76
0.59,Ideal,3,VS,62.1,57.0,1774,5.36,5.39,3.34
1.01,Ideal,4,VS,60.3,56.0,6794,6.56,6.5,3.94
0.31,Ideal,6,SI,61.0,57.0,732,4.41,4.38,2.68
0.51,Ideal,6,VS,60.9,57.0,1752,5.17,5.2,3.16
1.61,Ideal,4,SI,62.6,58.0,12085,7.44,7.48,4.67
0.45,Ideal,3,IF,61.4,56.0,1377,4.96,4.97,3.05
1.54,Ideal,3,SI,61.7,56.0,9359,7.41,7.44,4.58
0.79,Ideal,1,VS,61.7,59.0,2888,5.93,5.96,3.67
0.75,Ideal,4,VS,62.1,57.0,3081,5.8,5.82,3.61
0.51,Ideal,3,VVS,61.1,56.0,1875,5.15,5.19,3.16
1.13,Ideal,3,SI,62.0,55.0,6133,6.68,6.71,4.15
1.01,Ideal,3,SI,60.8,56.0,5204,6.53,6.49,3.96
0.3,Ideal,3,SI,62.3,58.0,477,4.26,4.28,2.66
1.0,Ideal,2,SI,61.4,55.0,4676,6.49,6.44,3.97
1.16,Ideal,0,IF,60.6,56.0,5519,6.79,6.86,4.14
0.33,Ideal,2,IF,61.6,55.0,838,4.48,4.51,2.77
0.38,Ideal,2,SI,62.0,54.0,671,4.66,4.72,2.91
0.29,Ideal,5,VVS,62.0,55.0,858,4.27,4.25,2.64
0.71,Ideal,4,VS,61.5,57.0,3404,5.73,5.76,3.53
0.34,Ideal,4,VS,62.9,55.0,880,4.48,4.46,2.81
1.55,Ideal,4,VS,62.6,57.0,14185,7.35,7.39,4.61
0.55,Ideal,5,VS,59.8,57.0,1596,5.3,5.34,3.18
1.03,Ideal,2,I1,61.5,57.0,3172,6.48,6.52,4.0
1.51,Ideal,0,VS,61.6,58.0,8067,7.35,7.43,4.55
0.9,Ideal,3,VVS,62.9,56.0,6237,6.11,6.19,3.87
0.32,Ideal,5,VS,62.1,55.0,900,4.4,4.36,2.72
0.26,Ideal,3,VS,62.1,54.0,456,4.1,4.14,2.56
1.01,Ideal,4,VS,62.5,54.0,7602,6.46,6.43,4.03
0.41,Ideal,6,VS,61.0,57.0,1151,4.78,4.82,2.93
0.32,Ideal,3,VS,62.0,57.0,720,4.41,4.39,2.73
1.22,Ideal,4,VS,61.5,56.0,9581,6.84,6.89,4.22
1.01,Ideal,4,SI,62.7,57.0,4843,6.36,6.39,4.0
1.52,Ideal,5,VS,62.4,55.0,15348,7.32,7.42,4.6
1.09,Ideal,6,SI,62.4,57.0,5364,6.55,6.6,4.1
0.3,Ideal,5,VS,62.5,56.0,658,4.28,4.3,2.68
0.3,Ideal,4,VVS,62.5,56.0,694,4.28,4.33,2.69
1.01,Ideal,6,SI,61.3,54.0,5006,6.52,6.47,3.99
1.15,Ideal,2,VS,62.8,54.0,6772,6.7,6.75,4.22
0.3,Ideal,1,VS,60.3,57.0,438,4.36,4.39,2.64
1.04,Ideal,5,SI,61.8,56.0,7208,6.49,6.53,4.02
1.05,Ideal,6,SI,61.9,56.0,5204,6.53,6.5,4.03
1.01,Ideal,3,VS,61.9,54.0,7179,6.44,6.48,4.0
1.53,Ideal,1,VS,62.1,55.0,9116,7.43,7.35,4.59
1.5,Ideal,1,VVS,60.7,60.0,10931,7.35,7.4,4.48
0.32,Ideal,3,VS,61.4,55.0,720,4.46,4.4,2.72
1.56,Ideal,0,VS,62.4,57.0,7809,7.39,7.46,4.63
0.55,Ideal,2,IF,61.5,55.0,2120,5.25,5.29,3.25
0.56,Ideal,5,VS,60.7,57.0,1915,5.34,5.31,3.23
0.32,Ideal,5,VS,61.6,55.0,898,4.43,4.46,2.74
0.39,Ideal,4,SI,61.8,57.0,697,4.68,4.73,2.91
0.31,Ideal,3,VS,60.6,56.0,627,4.38,4.4,2.66
0.51,Ideal,3,VS,62.3,54.0,1660,5.17,5.12,3.21
0.31,Ideal,6,VVS,60.9,57.0,997,4.42,4.38,2.68
1.03,Ideal,4,VS,60.4,56.0,6467,6.59,6.56,3.97
0.43,Ideal,3,VVS,61.4,57.0,1037,4.85,4.89,2.99
1.08,Ideal,2,SI,62.7,57.0,4740,6.48,6.51,4.07
0.51,Ideal,3,VS,62.5,57.0,1656,5.07,5.14,3.19
0.32,Ideal,6,VS,61.9,55.0,972,4.44,4.41,2.74
0.72,Ideal,3,SI,61.8,56.0,3048,5.7,5.76,3.55
1.01,Ideal,5,VVS,62.0,57.0,10954,6.39,6.45,3.98
0.33,Ideal,2,IF,62.1,54.0,838,4.44,4.48,2.77
1.56,Ideal,1,VVS,62.0,56.0,10481,7.39,7.42,4.6
0.71,Ideal,5,SI,61.6,53.0,2258,5.79,5.73,3.55
0.76,Ideal,2,VVS,61.0,56.0,3249,5.85,5.91,3.59
0.56,Ideal,6,SI,61.2,56.0,1814,5.34,5.31,3.26
0.3,Ideal,5,VS,62.0,55.0,658,4.25,4.3,2.65
0.42,Ideal,4,SI,61.6,56.0,691,4.81,4.83,2.97
0.34,Ideal,4,VS,60.8,57.0,699,4.51,4.54,2.75
0.55,Ideal,3,VS,60.9,55.0,1881,5.32,5.29,3.23
0.32,Ideal,5,VS,61.7,56.0,702,4.41,4.44,2.73
1.24,Ideal,1,SI,62.1,56.0,5902,6.88,6.84,4.26
0.5,Ideal,4,VVS,61.6,56.0,2052,5.08,5.11,3.14
0.31,Ideal,3,VVS,61.9,55.0,907,4.36,4.33,2.69
2.12,Ideal,1,SI,62.2,57.0,12284,8.21,8.14,5.08
1.23,Ideal,2,IF,61.3,57.0,8431,6.87,6.92,4.23
0.32,Ideal,3,VVS,61.4,57.0,814,4.42,4.44,2.72
0.71,Ideal,2,SI,62.7,57.0,2178,5.66,5.69,3.56
0.71,Ideal,5,VS,62.5,55.0,3247,5.67,5.73,3.56
0.32,Ideal,3,SI,62.6,55.0,571,4.41,4.38,2.75
0.32,Ideal,5,VS,61.5,55.0,900,4.43,4.38,2.71
0.84,Ideal,3,VS,62.0,55.0,3936,6.07,6.09,3.77
1.08,Ideal,5,VVS,61.8,56.0,10313,6.55,6.59,4.06
1.11,Ideal,1,SI,62.3,58.0,4771,6.6,6.65,4.13
0.33,Ideal,1,IF,62.0,54.0,675,4.46,4.48,2.77
0.31,Ideal,4,VVS,62.0,54.0,840,4.37,4.41,2.72
0.31,Ideal,6,SI,62.6,57.0,732,4.33,4.3,2.7
1.7,Ideal,2,SI,62.1,57.0,7273,7.68,7.63,4.75
1.3,Ideal,2,VS,62.2,57.0,5962,7.01,6.98,4.35
0.75,Ideal,5,VS,62.4,57.0,3263,5.76,5.81,3.61
1.56,Ideal,4,VS,62.0,55.0,17108,7.41,7.45,4.61
0.3,Ideal,4,IF,62.3,55.0,886,4.3,4.34,2.69
1.23,Ideal,3,VS,62.1,57.0,9230,6.87,6.79,4.24
0.55,Ideal,2,VVS,60.7,55.0,1668,5.32,5.34,3.24
0.34,Ideal,3,VS,62.7,55.0,596,4.48,4.49,2.81
0.98,Ideal,3,SI,62.3,56.0,4665,6.37,6.34,3.96
